,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Géo Point,Time
0,La Pause Plaisir,Boulangerie - Pâtisserie,Rue Albert 1er,3,4280,Hannut,"50.670079416,5.081582015",0.5
1,Walgraffe,Boulangerie - Pâtisserie,Rue Albert 1er,55,4280,Hannut,"50.670079416,5.081582015",0.5
2,Le bar à desserts de Marie,Glacier,Rue Louis Snyers,23 A3,4280,Hannut,"50.669648492,5.084784683",0.5
3,Aux Délices,Boulangerie - Pâtisserie,Place de la Croix,2,4280,Lens-Saint-Remy,"50.655225041,5.127045091",0.5
4,Janakel,Boulangerie - Pâtisserie,Route de Namur,123,4280,Moxhe,"50.638894909,5.081312019",0.5
5,Xavier Meur,Glacier,Rue de la Fusion,11,4280,Petit-Hallet,"50.687655043,5.017580076",0.5
6,Matagne Thierry,Boulangerie - Pâtisserie,Rue de la Prâle,38,4280,Villers-le-Peuplier,"50.658815479,5.098344636",0.5
7,Côté vanille,Glacier,Rue Albert 1er,84,4280,Hannut,"50.670079416,5.081582015",0.5
8,Ice Me,Glacier,Rue du Ballon,5,4280,Hannut,"50.672788956,5.078557396",0.5
9,Wanson Alain,Boulangerie - Pâtisserie,Rue du Mohéry,19,4280,Avin,"50.624526449,5.071485531",0.5
10,Boulangerie Mangon Fréderic,Boulangerie - Pâtisserie,Rue Albert 1er,42,4280,Hannut,"50.670079416,5.081582015",0.5
11,Boulangerie André,Boulangerie - Pâtisserie,Rue Gustave Detiege,9,4280,Hannut,"50.671955047,5.078210069",0.5
12,Pâtiss'On,Boulangerie - Pâtisserie,Rue du Mignawez,19,4280,Thisnes,"50.663014481,5.050343779",0.5
13,Le Chantilly (Mr Gillon B.),Glacier,Rue Albert 1er,60,4280,Hannut,"50.670079416,5.081582015",0.5
